AL,1,0
AK,1,0
AZ,1,0
AR,1,0
CA,1,0
CO,1,337
CT,1,0
DE,1,0
DC,1,0
FL,1,0
GA,1,0
HI,1,0
ID,1,0
IL,1,0
IN,1,0
IA,1,0
KS,1,0
KY,1,0
LA,1,0
ME,1,0
MD,1,0
MA,1,0
MI,1,0
MN,1,0
MS,1,0
MO,1,0
MT,1,0
NE,1,0
NV,1,0
NH,1,0
NJ,1,0
NM,1,0
NY,1,0
NC,1,0
ND,1,0
OH,1,0
OK,1,0
OR,1,0
PA,1,0
RI,1,0
SC,1,0
SD,1,0
TN,1,0
TX,1,0
UT,1,0
VT,1,0
VA,1,0
WA,1,0
WV,1,0
WI,1,0
WY,1,0
AL,2,0
AK,2,3866
AZ,2,1058
AR,2,4613
CA,2,0
CO,2,11699
CT,2,147
DE,2,74
DC,2,0
FL,2,16475
GA,2,1110
HI,2,4508
ID,2,4403
IL,2,1138
IN,2,1937
IA,2,5335
KS,2,646
KY,2,438
LA,2,3129
ME,2,333
MD,2,566
MA,2,0
MI,2,16139
MN,2,9456
MS,2,3987
MO,2,13092
MT,2,296
NE,2,0
NV,2,5268
NH,2,0
NJ,2,6161
NM,2,1514
NY,2,897
NC,2,0
ND,2,1833
OH,2,1887
OK,2,0
OR,2,0
PA,2,21572
RI,2,30
SC,2,5765
SD,2,4064
TN,2,1584
TX,2,4261
UT,2,8032
VT,2,63
VA,2,0
WA,2,17623
WV,2,3807
WI,2,12162
WY,2,2042
AL,3,729547
AK,3,116454
AZ,3,1161167
AR,3,380494
CA,3,8753788
CO,3,1338870
CT,3,897572
DE,3,235603
DC,3,282830
FL,3,4504975
GA,3,1877963
HI,3,266891
ID,3,189765
IL,3,3090729
IN,3,1033126
IA,3,653669
KS,3,427005
KY,3,628854
LA,3,780154
ME,3,357735
MD,3,1677928
MA,3,1995196
MI,3,2268839
MN,3,1367716
MS,3,485131
MO,3,1071068
MT,3,177709
NE,3,284494
NV,3,539260
NH,3,348526
NJ,3,2148278
NM,3,385234
NY,3,4556124
NC,3,2189316
ND,3,93758
OH,3,2394164
OK,3,420375
OR,3,1002106
PA,3,2926441
RI,3,252525
SC,3,855373
SD,3,117458
TN,3,870695
TX,3,3877868
UT,3,310676
VT,3,178573
VA,3,1981473
WA,3,1742718
WV,3,188794
WI,3,1382536
WY,3,55973
AL,4,0
AK,4,0
AZ,4,0
AR,4,0
CA,4,0
CO,4,0
CT,4,0
DE,4,0
DC,4,0
FL,4,0
GA,4,0
HI,4,0
ID,4,2356
IL,4,0
IN,4,0
IA,4,0
KS,4,0
KY,4,0
LA,4,0
ME,4,0
MD,4,0
MA,4,0
MI,4,0
MN,4,0
MS,4,0
MO,4,0
MT,4,0
NE,4,0
NV,4,0
NH,4,0
NJ,4,0
NM,4,0
NY,4,0
NC,4,0
ND,4,0
OH,4,0
OK,4,0
OR,4,0
PA,4,0
RI,4,0
SC,4,0
SD,4,0
TN,4,0
TX,4,0
UT,4,0
VT,4,0
VA,4,0
WA,4,0
WV,4,0
WI,4,0
WY,4,0
AL,5,0
AK,5,1240
AZ,5,29
AR,5,0
CA,5,0
CO,5,1255
CT,5,12
DE,5,3
DC,5,0
FL,5,9108
GA,5,0
HI,5,0
ID,5,1373
IL,5,0
IN,5,21
IA,5,451
KS,5,3
KY,5,1128
LA,5,0
ME,5,0
MD,5,14
MA,5,0
MI,5,0
MN,5,1431
MS,5,644
MO,5,6
MT,5,1570
NE,5,0
NV,5,2552
NH,5,678
NJ,5,1838
NM,5,475
NY,5,35
NC,5,0
ND,5,364
OH,5,0
OK,5,0
OR,5,0
PA,5,0
RI,5,671
SC,5,0
SD,5,0
TN,5,4075
TX,5,0
UT,5,883
VT,5,1063
VA,5,0
WA,5,0
WV,5,3
WI,5,1502
WY,5,709
AL,6,0
AK,6,0
AZ,6,0
AR,6,0
CA,6,0
CO,6,0
CT,6,0
DE,6,1
DC,6,0
FL,6,25
GA,6,0
HI,6,0
ID,6,0
IL,6,0
IN,6,25
IA,6,0
KS,6,0
KY,6,2
LA,6,0
ME,6,0
MD,6,18
MA,6,0
MI,6,0
MN,6,0
MS,6,0
MO,6,0
MT,6,0
NE,6,0
NV,6,0
NH,6,0
NJ,6,0
NM,6,0
NY,6,0
NC,6,0
ND,6,0
OH,6,24235
OK,6,0
OR,6,0
PA,6,0
RI,6,0
SC,6,0
SD,6,0
TN,6,0
TX,6,0
UT,6,0
VT,6,0
VA,6,0
WA,6,0
WV,6,1
WI,6,0
WY,6,0
AL,7,0
AK,7,0
AZ,7,0
AR,7,0
CA,7,0
CO,7,0
CT,7,0
DE,7,0
DC,7,0
FL,7,0
GA,7,0
HI,7,0
ID,7,0
IL,7,0
IN,7,0
IA,7,0
KS,7,0
KY,7,0
LA,7,0
ME,7,0
MD,7,0
MA,7,0
MI,7,0
MN,7,0
MS,7,0
MO,7,0
MT,7,0
NE,7,0
NV,7,0
NH,7,0
NJ,7,0
NM,7,0
NY,7,0
NC,7,0
ND,7,0
OH,7,0
OK,7,0
OR,7,0
PA,7,0
RI,7,0
SC,7,0
SD,7,0
TN,7,0
TX,7,0
UT,7,2752
VT,7,0
VA,7,0
WA,7,0
WV,7,0
WI,7,0
WY,7,0
AL,8,0
AK,8,0
AZ,8,0
AR,8,4709
CA,8,0
CO,8,185
CT,8,0
DE,8,0
DC,8,0
FL,8,0
GA,8,0
HI,8,0
ID,8,0
IL,8,0
IN,8,0
IA,8,0
KS,8,3
KY,8,0
LA,8,0
ME,8,0
MD,8,5
MA,8,0
MI,8,0
MN,8,0
MS,8,715
MO,8,0
MT,8,0
NE,8,0
NV,8,0
NH,8,0
NJ,8,0
NM,8,0
NY,8,0
NC,8,0
ND,8,0
OH,8,0
OK,8,0
OR,8,0
PA,8,0
RI,8,0
SC,8,0
SD,8,0
TN,8,0
TX,8,0
UT,8,0
VT,8,0
VA,8,0
WA,8,0
WV,8,0
WI,8,0
WY,8,0
AL,9,0
AK,9,0
AZ,9,85
AR,9,0
CA,9,0
CO,9,710
CT,9,31
DE,9,7
DC,9,0
FL,9,0
GA,9,70
HI,9,0
ID,9,0
IL,9,175
IN,9,269
IA,9,0
KS,9,45
KY,9,39
LA,9,1581
ME,9,0
MD,9,42
MA,9,0
MI,9,95
MN,9,0
MS,9,0
MO,9,48
MT,9,10
NE,9,0
NV,9,0
